iter	Passed	Remaining
0	21	21260
1	34	17011
2	47	15862
3	58	14577
4	70	14109
5	85	14118
6	102	14510
7	117	14531
8	128	14184
9	150	14860
10	161	14553
11	171	14119
12	188	14274
13	211	14864
14	232	15243
15	241	14867
16	251	14556
17	259	14163
18	266	13782
19	289	14173
20	309	14430
21	322	14320
22	338	14383
23	354	14435
24	367	14347
25	378	14169
26	388	13992
27	408	14189
28	417	13990
29	440	14232
30	466	14594
31	476	14427
32	494	14478
33	507	14414
34	524	14474
35	537	14399
36	550	14318
37	561	14217
38	576	14206
39	586	14085
40	598	14004
41	610	13921
42	619	13783
43	631	13729
44	651	13823
45	661	13721
46	670	13599
47	683	13561
48	692	13441
49	700	13316
50	727	13533
51	735	13405
52	749	13399
53	758	13295
54	769	13221
55	778	13117
56	791	13093
57	810	13163
58	830	13247
59	846	13259
60	868	13361
61	879	13312
62	889	13236
63	897	13130
64	906	13042
65	921	13044
66	939	13085
67	954	13084
68	968	13074
69	988	13130
70	1005	13158
71	1013	13064
72	1024	13006
73	1053	13181
74	1075	13269
75	1099	13371
76	1134	13593
77	1163	13747
78	1204	14042
79	1239	14258
80	1266	14366
81	1298	14538
82	1306	14438
83	1317	14370
84	1328	14303
85	1336	14202
86	1344	14111
87	1357	14064
88	1365	13973
89	1373	13891
90	1384	13824
91	1392	13746
92	1414	13796
93	1428	13770
94	1442	13737
95	1470	13849
96	1484	13819
97	1502	13825
98	1510	13745
99	1530	13774
100	1539	13701
101	1549	13640
102	1559	13584
103	1581	13626
104	1595	13600
105	1604	13535
106	1613	13466
107	1630	13463
108	1655	13534
109	1692	13692
110	1708	13680
111	1731	13730
112	1750	13742
113	1760	13684
114	1787	13757
115	1809	13786
116	1832	13832
117	1870	13983
118	1890	13994
119	1906	13982
120	1914	13907
121	1926	13866
122	1936	13804
123	1950	13781
124	1965	13758
125	1981	13742
126	1999	13747
127	2010	13696
128	2023	13659
129	2034	13617
130	2046	13577
131	2057	13530
132	2071	13501
133	2086	13483
134	2097	13439
135	2111	13412
136	2121	13361
137	2133	13324
138	2151	13328
139	2175	13361
140	2184	13309
141	2194	13262
142	2206	13225
143	2216	13177
144	2234	13175
145	2246	13138
146	2262	13130
147	2273	13085
148	2286	13060
149	2297	13021
150	2311	12995
151	2323	12961
152	2338	12948
153	2358	12958
154	2368	12909
155	2376	12857
156	2390	12836
157	2401	12797
158	2412	12757
159	2425	12736
160	2438	12706
161	2447	12662
162	2472	12696
163	2487	12678
164	2509	12700
165	2524	12685
166	2544	12690
167	2576	12758
168	2605	12810
169	2637	12875
170	2653	12865
171	2684	12924
172	2732	13063
173	2745	13033
174	2753	12982
175	2764	12942
176	2773	12893
177	2783	12854
178	2792	12808
179	2803	12770
180	2818	12752
181	2825	12700
182	2852	12735
183	2875	12751
184	2882	12699
185	2891	12655
186	2899	12606
187	2907	12556
188	2916	12515
189	2926	12474
190	2934	12428
191	2946	12398
192	2956	12362
193	2964	12316
194	2972	12270
195	2988	12258
196	2997	12217
197	3009	12189
198	3020	12159
199	3030	12121
200	3052	12133
201	3059	12086
202	3068	12048
203	3077	12008
204	3085	11966
205	3098	11941
206	3108	11908
207	3117	11871
208	3127	11835
209	3135	11794
210	3143	11755
211	3152	11718
212	3164	11692
213	3174	11657
214	3186	11634
215	3200	11615
216	3216	11606
217	3228	11581
218	3242	11561
219	3254	11536
220	3265	11510
221	3278	11491
222	3289	11462
223	3301	11438
224	3319	11433
225	3334	11421
226	3345	11393
227	3356	11366
228	3366	11333
229	3374	11298
230	3385	11268
231	3394	11237
232	3402	11201
233	3411	11167
234	3421	11138
235	3429	11103
236	3447	11100
237	3465	11094
238	3474	11062
239	3481	11023
240	3502	11030
241	3517	11016
242	3542	11035
243	3560	11031
244	3575	11017
245	3592	11010
246	3612	11012
247	3630	11007
248	3650	11011
249	3677	11031
250	3693	11021
251	3749	11130
252	3781	11165
253	3803	11172
254	3832	11195
255	3872	11255
256	3893	11256
257	3915	11260
258	3964	11343
259	3987	11349
260	3998	11320
261	4006	11284
262	4021	11269
263	4057	11312
264	4091	11347
265	4116	11358
266	4125	11327
267	4146	11326
268	4155	11291
269	4163	11257
270	4175	11233
271	4183	11197
272	4196	11175
273	4207	11148
274	4217	11118
275	4264	11185
276	4292	11202
277	4323	11228
278	4352	11246
279	4392	11294
280	4418	11306
281	4426	11271
282	4455	11287
283	4482	11301
284	4490	11265
285	4498	11230
286	4511	11207
287	4519	11172
288	4531	11149
289	4540	11116
290	4550	11086
291	4558	11051
292	4568	11023
293	4578	10994
294	4586	10960
295	4597	10933
296	4605	10901
297	4624	10894
298	4639	10876
299	4649	10849
300	4659	10820
301	4668	10789
302	4677	10759
303	4687	10733
304	4717	10750
305	4747	10766
306	4754	10733
307	4795	10773
308	4818	10775
309	4854	10804
310	4868	10784
311	4879	10759
312	4886	10724
313	4895	10695
314	4904	10664
315	4912	10633
316	4925	10613
317	4937	10589
318	4946	10560
319	4959	10538
320	4970	10514
321	4979	10484
322	5002	10486
323	5013	10459
324	5022	10431
325	5034	10409
326	5047	10388
327	5062	10372
328	5074	10349
329	5086	10326
330	5097	10303
331	5111	10284
332	5127	10269
333	5146	10262
334	5157	10237
335	5168	10213
336	5182	10195
337	5209	10202
338	5219	10176
339	5228	10149
340	5242	10130
341	5255	10111
342	5271	10097
343	5282	10074
344	5295	10054
345	5305	10028
346	5318	10008
347	5329	9985
348	5339	9959
349	5349	9934
350	5361	9914
351	5370	9887
352	5381	9862
353	5391	9838
354	5400	9812
355	5417	9800
356	5427	9776
357	5436	9748
358	5451	9733
359	5468	9720
360	5482	9704
361	5499	9692
362	5514	9677
363	5528	9659
364	5558	9669
365	5568	9646
366	5578	9621
367	5598	9614
368	5611	9595
369	5623	9574
370	5634	9553
371	5652	9542
372	5675	9541
373	5698	9537
374	5721	9535
375	5735	9518
376	5744	9493
377	5756	9471
378	5770	9455
379	5784	9437
380	5804	9430
381	5819	9415
382	5836	9401
383	5847	9381
384	5860	9361
385	5890	9370
386	5908	9358
387	5918	9335
388	5943	9335
389	5961	9324
390	5979	9312
391	6012	9324
392	6065	9368
393	6082	9355
394	6094	9335
395	6108	9316
396	6122	9299
397	6149	9301
398	6178	9307
399	6191	9287
400	6203	9266
401	6222	9255
402	6229	9228
403	6246	9214
404	6257	9192
405	6268	9171
406	6284	9156
407	6295	9134
408	6312	9121
409	6325	9102
410	6337	9081
411	6349	9062
412	6365	9047
413	6378	9028
414	6388	9005
415	6399	8983
416	6410	8962
417	6425	8946
418	6438	8927
419	6463	8926
420	6481	8914
421	6493	8894
422	6510	8880
423	6522	8861
424	6537	8844
425	6552	8828
426	6572	8819
427	6583	8798
428	6594	8777
429	6607	8758
430	6633	8757
431	6650	8743
432	6659	8720
433	6670	8699
434	6682	8680
435	6699	8665
436	6712	8648
437	6722	8625
438	6733	8604
439	6743	8582
440	6754	8561
441	6763	8538
442	6776	8520
443	6785	8497
444	6794	8474
445	6806	8455
446	6817	8433
447	6831	8417
448	6844	8398
449	6862	8387
450	6874	8368
451	6882	8344
452	6894	8325
453	6904	8303
454	6920	8289
455	6935	8274
456	6952	8261
457	6961	8238
458	6973	8219
459	6983	8197
460	6994	8178
461	7004	8157
462	7022	8145
463	7036	8128
464	7045	8105
465	7061	8092
466	7074	8074
467	7087	8057
468	7099	8038
469	7109	8016
470	7124	8002
471	7140	7987
472	7154	7971
473	7165	7951
474	7176	7931
475	7186	7910
476	7198	7892
477	7217	7881
478	7232	7866
479	7241	7845
480	7251	7824
481	7263	7805
482	7274	7786
483	7294	7776
484	7334	7788
485	7357	7781
486	7374	7768
487	7382	7745
488	7401	7734
489	7413	7716
490	7423	7695
491	7435	7677
492	7446	7657
493	7460	7641
494	7481	7632
495	7497	7618
496	7507	7598
497	7518	7578
498	7530	7561
499	7544	7544
500	7555	7525
501	7562	7502
502	7570	7480
503	7579	7459
504	7618	7467
505	7631	7450
506	7648	7437
507	7658	7417
508	7669	7398
509	7692	7390
510	7707	7375
511	7717	7356
512	7730	7338
513	7748	7326
514	7756	7304
515	7770	7288
516	7782	7270
517	7798	7256
518	7809	7237
519	7822	7221
520	7831	7200
521	7846	7185
522	7860	7168
523	7870	7149
524	7879	7129
525	7891	7111
526	7902	7092
527	7912	7072
528	7926	7057
529	7940	7041
530	7951	7022
531	7960	7002
532	7970	6983
533	7978	6962
534	7990	6944
535	8008	6932
536	8036	6928
537	8059	6921
538	8072	6904
539	8083	6885
540	8102	6873
541	8114	6857
542	8125	6838
543	8143	6826
544	8154	6807
545	8177	6799
546	8192	6785
547	8206	6768
548	8219	6752
549	8233	6736
550	8241	6716
551	8255	6699
552	8266	6682
553	8282	6667
554	8290	6647
555	8305	6632
556	8336	6630
557	8345	6610
558	8358	6594
559	8374	6580
560	8384	6561
561	8395	6542
562	8410	6528
563	8421	6510
564	8430	6490
565	8446	6476
566	8459	6460
567	8473	6444
568	8506	6443
569	8527	6432
570	8547	6421
571	8567	6410
572	8578	6392
573	8590	6375
574	8604	6359
575	8618	6344
576	8633	6329
577	8643	6310
578	8651	6290
579	8664	6274
580	8680	6260
581	8699	6248
582	8713	6232
583	8727	6216
584	8744	6203
585	8756	6186
586	8775	6174
587	8792	6160
588	8808	6146
589	8825	6132
590	8837	6115
591	8848	6098
592	8859	6080
593	8877	6067
594	8890	6051
595	8907	6037
596	8924	6024
597	8937	6007
598	8949	5991
599	8961	5974
600	8987	5966
601	9001	5950
602	9019	5938
603	9036	5924
604	9048	5907
605	9065	5894
606	9081	5879
607	9101	5868
608	9113	5851
609	9123	5833
610	9134	5815
611	9146	5798
612	9168	5788
613	9182	5772
614	9199	5759
615	9233	5755
616	9248	5740
617	9261	5724
618	9278	5711
619	9291	5694
620	9316	5686
621	9327	5668
622	9343	5653
623	9362	5641
624	9376	5625
625	9386	5607
626	9402	5593
627	9426	5583
628	9450	5574
629	9469	5561
630	9488	5548
631	9496	5529
632	9507	5512
633	9519	5495
634	9537	5482
635	9554	5468
636	9573	5455
637	9591	5442
638	9600	5423
639	9609	5405
640	9618	5386
641	9625	5367
642	9634	5349
643	9648	5333
644	9663	5318
645	9683	5306
646	9701	5292
647	9724	5282
648	9745	5270
649	9755	5253
650	9766	5235
651	9778	5219
652	9789	5202
653	9800	5184
654	9811	5168
655	9821	5150
656	9831	5132
657	9843	5116
658	9863	5103
659	9874	5086
660	9885	5069
661	9895	5052
662	9909	5036
663	9920	5020
664	9929	5002
665	9943	4986
666	9955	4970
667	9968	4954
668	9982	4938
669	9994	4922
670	10006	4906
671	10017	4889
672	10028	4872
673	10037	4855
674	10048	4838
675	10061	4822
676	10079	4808
677	10088	4791
678	10098	4773
679	10108	4757
680	10118	4740
681	10127	4722
682	10152	4711
683	10174	4700
684	10196	4688
685	10211	4674
686	10222	4657
687	10237	4642
688	10253	4628
689	10269	4613
690	10286	4599
691	10298	4583
692	10309	4566
693	10336	4557
694	10351	4542
695	10361	4525
696	10375	4510
697	10386	4493
698	10395	4476
699	10408	4460
700	10418	4443
701	10427	4426
702	10438	4409
703	10450	4394
704	10467	4379
705	10477	4363
706	10491	4348
707	10506	4333
708	10520	4317
709	10534	4302
710	10548	4287
711	10564	4273
712	10583	4260
713	10601	4246
714	10620	4233
715	10650	4224
716	10685	4217
717	10700	4202
718	10709	4185
719	10725	4170
720	10734	4153
721	10747	4138
722	10755	4120
723	10764	4103
724	10782	4089
725	10797	4075
726	10809	4059
727	10823	4043
728	10832	4026
729	10844	4011
730	10858	3995
731	10887	3986
732	10910	3974
733	10931	3961
734	10950	3948
735	10965	3933
736	10979	3918
737	10996	3903
738	11012	3889
739	11034	3876
740	11061	3866
741	11093	3857
742	11140	3853
743	11173	3844
744	11206	3835
745	11228	3823
746	11255	3812
747	11296	3805
748	11313	3791
749	11321	3773
750	11329	3756
751	11340	3739
752	11351	3723
753	11360	3706
754	11371	3690
755	11398	3678
756	11437	3671
757	11472	3662
758	11481	3645
759	11490	3628
760	11500	3611
761	11509	3594
762	11519	3578
763	11537	3563
764	11567	3553
765	11585	3539
766	11600	3523
767	11614	3508
768	11628	3493
769	11640	3476
770	11650	3460
771	11666	3445
772	11679	3429
773	11689	3413
774	11699	3396
775	11715	3381
776	11727	3365
777	11739	3349
778	11749	3333
779	11762	3317
780	11778	3302
781	11789	3286
782	11801	3270
783	11812	3254
784	11828	3239
785	11843	3224
786	11853	3208
787	11875	3194
788	11906	3184
789	11934	3172
790	11959	3159
791	11989	3148
792	12019	3137
793	12068	3131
794	12078	3114
795	12087	3097
796	12101	3082
797	12116	3067
798	12127	3050
799	12146	3036
800	12155	3019
801	12168	3004
802	12183	2988
803	12196	2973
804	12205	2956
805	12217	2940
806	12231	2925
807	12247	2910
808	12257	2893
809	12269	2877
810	12280	2861
811	12294	2846
812	12303	2830
813	12313	2813
814	12324	2797
815	12332	2780
816	12343	2764
817	12352	2748
818	12362	2732
819	12383	2718
820	12403	2704
821	12427	2691
822	12441	2675
823	12450	2659
824	12471	2645
825	12483	2629
826	12495	2613
827	12503	2597
828	12515	2581
829	12527	2565
830	12536	2549
831	12551	2534
832	12577	2521
833	12590	2506
834	12602	2490
835	12617	2475
836	12628	2459
837	12639	2443
838	12652	2427
839	12665	2412
840	12675	2396
841	12684	2380
842	12695	2364
843	12708	2348
844	12722	2333
845	12731	2317
846	12739	2301
847	12752	2285
848	12768	2270
849	12784	2256
850	12796	2240
851	12814	2225
852	12826	2210
853	12837	2194
854	12872	2183
855	12891	2168
856	12905	2153
857	12936	2141
858	12959	2127
859	12994	2115
860	13009	2100
861	13024	2085
862	13042	2070
863	13054	2054
864	13064	2038
865	13074	2023
866	13082	2006
867	13092	1990
868	13101	1974
869	13121	1960
870	13132	1944
871	13145	1929
872	13159	1914
873	13177	1899
874	13190	1884
875	13208	1869
876	13223	1854
877	13234	1838
878	13243	1823
879	13254	1807
880	13265	1791
881	13277	1776
882	13290	1761
883	13301	1745
884	13312	1729
885	13321	1713
886	13334	1698
887	13343	1682
888	13351	1667
889	13366	1652
890	13383	1637
891	13392	1621
892	13400	1605
893	13411	1590
894	13420	1574
895	13430	1558
896	13439	1543
897	13449	1527
898	13459	1512
899	13479	1497
900	13497	1483
901	13512	1468
902	13531	1453
903	13548	1438
904	13561	1423
905	13575	1408
906	13585	1392
907	13600	1378
908	13618	1363
909	13628	1347
910	13640	1332
911	13653	1317
912	13672	1302
913	13684	1287
914	13692	1271
915	13703	1256
916	13712	1241
917	13722	1225
918	13731	1210
919	13752	1195
920	13774	1181
921	13792	1166
922	13813	1152
923	13827	1137
924	13835	1121
925	13844	1106
926	13854	1091
927	13873	1076
928	13885	1061
929	13896	1045
930	13910	1030
931	13930	1016
932	13942	1001
933	13963	986
934	13983	972
935	13993	956
936	14004	941
937	14013	926
938	14026	911
939	14038	896
940	14052	881
941	14064	865
942	14075	850
943	14096	836
944	14107	821
945	14123	806
946	14141	791
947	14165	776
948	14194	762
949	14203	747
950	14222	732
951	14243	718
952	14263	703
953	14287	688
954	14300	673
955	14311	658
956	14322	643
957	14331	628
958	14350	613
959	14361	598
960	14386	583
961	14398	568
962	14405	553
963	14416	538
964	14432	523
965	14442	508
966	14451	493
967	14464	478
968	14476	463
969	14491	448
970	14501	433
971	14516	418
972	14535	403
973	14553	388
974	14566	373
975	14577	358
976	14592	343
977	14606	328
978	14626	313
979	14639	298
980	14656	283
981	14667	268
982	14686	253
983	14697	238
984	14706	223
985	14718	208
986	14738	194
987	14759	179
988	14776	164
989	14798	149
990	14809	134
991	14821	119
992	14830	104
993	14842	89
994	14856	74
995	14868	59
996	14880	44
